time,unit,technology,output
155,4,Wind offshore,-0.0
156,1,Solar PV,-0.0
156,2,Wind offshore,-317.9904617600555
156,3,Wind onshore,-0.0
156,4,Wind offshore,-0.0
157,1,Solar PV,-0.0
157,2,Wind offshore,-320.9641634933693
157,3,Wind onshore,-0.0
157,4,Wind offshore,-0.0
158,1,Solar PV,-0.0
158,2,Wind offshore,-329.663566320951
158,3,Wind onshore,-0.0
158,4,Wind offshore,-0.0
159,1,Solar PV,-0.0
159,2,Wind offshore,-333.0538951959383
159,3,Wind onshore,-0.0
159,4,Wind offshore,-0.0
160,1,Solar PV,-0.0
160,2,Wind offshore,-327.88955136850484
160,3,Wind onshore,-0.0
160,4,Wind offshore,-0.0
161,1,Solar PV,-0.0
161,2,Wind offshore,-317.271601640454
161,3,Wind onshore,-0.0
161,4,Wind offshore,-0.0
162,1,Solar PV,-0.0
162,2,Wind offshore,-317.730436008434
162,3,Wind onshore,-0.0
162,4,Wind offshore,-0.0
163,1,Solar PV,-0.0
163,2,Wind offshore,-330.02528110994433
163,3,Wind onshore,-0.0
163,4,Wind offshore,-0.0
164,1,Solar PV,-0.0
164,2,Wind offshore,-337.9904012084947
164,3,Wind onshore,-0.0
164,4,Wind offshore,-0.0
165,1,Solar PV,-0.0
165,2,Wind offshore,-335.6394069466994
165,3,Wind onshore,-0.0
165,4,Wind offshore,-0.0
166,1,Solar PV,-0.0
166,2,Wind offshore,-331.9884033548537
166,3,Wind onshore,-0.0
166,4,Wind offshore,-0.0
167,1,Solar PV,-0.0
167,2,Wind offshore,-323.65289401542583
167,3,Wind onshore,-0.0
167,4,Wind offshore,-0.0
168,1,Solar PV,-0.0
168,2,Wind offshore,-306.59888646024854
168,3,Wind onshore,-0.0
168,4,Wind offshore,-0.0
