0.788,0.788,0.414,0.45
0.798,0.798,0.397,0.464
0.796,0.796,0.379,0.472
0.788,0.788,0.358,0.462
0.782,0.782,0.337,0.488
0.78,0.78,0.317,0.504
0.829,0.829,0.313,0.517
0.87,0.87,0.398,0.538
0.896,0.896,0.432,0.544
0.929,0.929,0.485,0.574
0.958,0.958,0.544,0.618
0.972,0.972,0.588,0.635
0.98,0.98,0.613,0.633
0.984,0.984,0.627,0.653
0.985,0.985,0.642,0.692
0.981,0.981,0.632,0.693
0.977,0.977,0.642,0.717
0.973,0.973,0.644,0.75
0.969,0.969,0.624,0.74
0.965,0.965,0.607,0.731
0.966,0.966,0.609,0.725
0.971,0.971,0.61,0.718
0.975,0.975,0.582,0.712
0.973,0.973,0.556,0.706
0.967,0.967,0.535,0.703
0.959,0.959,0.504,0.676
0.945,0.945,0.464,0.642
0.921,0.921,0.425,0.595
0.888,0.888,0.38,0.55
0.857,0.857,0.341,0.529
0.829,0.829,0.314,0.51
0.808,0.808,0.3,0.491
0.794,0.794,0.294,0.469
0.786,0.786,0.287,0.448
0.767,0.767,0.272,0.432
0.735,0.735,0.259,0.425
0.698,0.698,0.256,0.42
0.672,0.672,0.251,0.414
0.658,0.658,0.248,0.412
0.648,0.648,0.243,0.413
0.631,0.631,0.246,0.411
0.583,0.583,0.235,0.398
0.524,0.524,0.208,0.374
0.478,0.478,0.185,0.355
0.454,0.454,0.174,0.348
0.448,0.448,0.167,0.346
0.46,0.46,0.157,0.338
0.484,0.484,0.145,0.316
0.501,0.501,0.147,0.311
0.497,0.497,0.137,0.302
0.479,0.479,0.122,0.285
0.448,0.448,0.108,0.259
0.416,0.416,0.094,0.231
0.395,0.395,0.088,0.216
0.386,0.386,0.086,0.206
0.382,0.382,0.084,0.199
0.374,0.374,0.081,0.196
0.367,0.367,0.08,0.194
0.355,0.355,0.076,0.19
0.341,0.341,0.068,0.177
0.336,0.336,0.061,0.159
0.341,0.341,0.057,0.146
0.352,0.352,0.054,0.136
0.367,0.367,0.054,0.136
0.369,0.369,0.045,0.145
0.349,0.349,0.034,0.142
0.321,0.321,0.025,0.133
0.292,0.292,0.019,0.123
0.266,0.266,0.017,0.12
0.254,0.254,0.017,0.122
0.266,0.266,0.023,0.121
0.297,0.297,0.042,0.114
0.329,0.329,0.067,0.119
0.356,0.356,0.084,0.134
0.382,0.382,0.096,0.144
0.402,0.402,0.103,0.147
0.407,0.407,0.104,0.145
0.395,0.395,0.099,0.143
0.376,0.376,0.09,0.147
0.362,0.362,0.084,0.155
0.363,0.363,0.084,0.165
0.388,0.388,0.094,0.18
0.432,0.432,0.112,0.201
0.491,0.491,0.136,0.231
0.55,0.55,0.161,0.266
0.601,0.601,0.18,0.298
0.645,0.645,0.198,0.323
0.685,0.685,0.212,0.343
0.717,0.717,0.217,0.358
0.726,0.726,0.236,0.352
0.724,0.724,0.245,0.344
0.711,0.711,0.242,0.337
0.702,0.702,0.243,0.334
0.71,0.71,0.254,0.334
0.733,0.733,0.251,0.337
0.77,0.77,0.283,0.341
0.804,0.804,0.327,0.365
0.829,0.829,0.323,0.386
0.844,0.844,0.325,0.395
0.845,0.845,0.343,0.387
0.841,0.841,0.318,0.368
0.84,0.84,0.33,0.367
0.84,0.84,0.345,0.365
0.84,0.84,0.347,0.366
0.837,0.837,0.334,0.361
0.839,0.839,0.341,0.334
0.84,0.84,0.33,0.301
0.841,0.841,0.332,0.282
0.847,0.847,0.334,0.295
0.856,0.856,0.337,0.313
0.864,0.864,0.346,0.343
0.869,0.869,0.355,0.367
0.87,0.87,0.364,0.367
0.862,0.862,0.386,0.464
0.852,0.852,0.376,0.49
0.845,0.845,0.361,0.488
0.844,0.844,0.362,0.476
0.857,0.857,0.376,0.471
0.879,0.879,0.378,0.454
0.903,0.903,0.403,0.46
0.92,0.92,0.432,0.515
0.927,0.927,0.49,0.547
0.928,0.928,0.433,0.561
0.928,0.928,0.428,0.563
0.926,0.926,0.425,0.552
0.918,0.918,0.41,0.535
0.909,0.909,0.4,0.512
0.896,0.896,0.383,0.498
0.874,0.874,0.361,0.494
0.847,0.847,0.336,0.495
0.821,0.821,0.314,0.494
0.815,0.815,0.306,0.455
0.822,0.822,0.308,0.432
0.839,0.839,0.316,0.438
0.855,0.855,0.324,0.45
0.862,0.862,0.337,0.451
0.868,0.868,0.337,0.437
0.869,0.869,0.323,0.516
0.845,0.845,0.298,0.523
0.811,0.811,0.259,0.495
0.814,0.814,0.259,0.447
0.826,0.826,0.3,0.415
0.808,0.808,0.32,0.386
0.801,0.801,0.287,0.38
0.823,0.823,0.275,0.373
0.852,0.852,0.292,0.362
0.879,0.879,0.323,0.341
0.896,0.896,0.344,0.328
0.904,0.904,0.355,0.334
0.899,0.899,0.349,0.35
0.875,0.875,0.343,0.367
0.829,0.829,0.303,0.358
0.8,0.8,0.283,0.316
0.813,0.813,0.288,0.273
0.831,0.831,0.305,0.243
0.841,0.841,0.334,0.231
0.866,0.866,0.352,0.261
0.889,0.889,0.381,0.304
0.893,0.893,0.424,0.312
0.89,0.89,0.42,0.346
0.895,0.895,0.399,0.386
0.905,0.905,0.426,0.353
0.912,0.912,0.473,0.321
0.906,0.906,0.467,0.317
0.899,0.899,0.436,0.328
0.91,0.91,0.437,0.337
0.928,0.928,0.454,0.362
0.942,0.942,0.444,0.367
0.961,0.961,0.501,0.395
0.976,0.976,0.584,0.502
0.982,0.982,0.63,0.585
0.98,0.98,0.674,0.638
0.979,0.979,0.607,0.666
0.978,0.978,0.618,0.642
0.971,0.971,0.634,0.599
0.958,0.958,0.636,0.586
0.933,0.933,0.605,0.588
0.913,0.913,0.57,0.591
0.901,0.901,0.552,0.592
0.882,0.882,0.488,0.587
0.847,0.847,0.412,0.572
0.788,0.788,0.343,0.513
0.762,0.762,0.29,0.439
0.798,0.798,0.322,0.383
0.832,0.832,0.372,0.332
0.829,0.829,0.379,0.32
0.794,0.794,0.317,0.337
0.795,0.795,0.309,0.312
0.825,0.825,0.337,0.286
0.844,0.844,0.349,0.298
0.864,0.864,0.341,0.347
0.893,0.893,0.343,0.37
0.91,0.91,0.349,0.416
0.922,0.922,0.376,0.479
0.936,0.936,0.404,0.501
0.948,0.948,0.444,0.525
0.959,0.959,0.482,0.542
0.968,0.968,0.519,0.563
0.971,0.971,0.55,0.578
0.97,0.97,0.568,0.566
0.963,0.963,0.609,0.568
0.95,0.95,0.63,0.513
0.914,0.914,0.467,0.544
0.82,0.82,0.296,0.596
0.584,0.584,0.256,0.603
0.467,0.467,0.392,0.586
0.519,0.519,0.411,0.513
0.674,0.674,0.367,0.393
0.763,0.763,0.329,0.285
0.777,0.777,0.256,0.211
0.77,0.77,0.215,0.153
0.763,0.763,0.251,0.123
