time,unit,fuel,output_up
65,6,NaturalGas,15.081973562755158
65,7,NaturalGas,0.0
65,8,HardCoal,0.0
65,9,HardCoal,0.0
65,10,Lignite,0.0
65,11,Lignite,0.0
65,12,HardCoal,169.6338349999997
66,1,NaturalGas,120.00000000000001
66,2,NaturalGas,33.45538396413703
66,3,Lignite,0.0
66,4,Nuclear,0.0
66,5,Oil,0.0
66,6,NaturalGas,6.109836258801238
66,7,NaturalGas,0.0
66,8,HardCoal,0.0
66,9,HardCoal,0.0
66,10,Lignite,0.0
66,11,Lignite,0.0
66,12,HardCoal,170.0
67,1,NaturalGas,80.0
67,2,NaturalGas,37.54756929413017
67,3,Lignite,0.0
67,4,Nuclear,0.0
67,5,Oil,0.0
67,6,NaturalGas,14.64076146040525
67,7,NaturalGas,0.0
67,8,HardCoal,0.0
67,9,HardCoal,0.0
67,10,Lignite,0.0
67,11,Lignite,0.07520299999987934
67,12,HardCoal,174.64308157083067
68,1,NaturalGas,40.0
68,2,NaturalGas,13.73285526198081
68,3,Lignite,0.0
68,4,Nuclear,77.10145299999995
68,5,Oil,0.0
68,6,NaturalGas,0.0
68,7,NaturalGas,0.0
68,8,HardCoal,0.0
68,9,HardCoal,0.0
68,10,Lignite,0.0
68,11,Lignite,60.07520299999989
68,12,HardCoal,134.64308157083067
69,1,NaturalGas,0.0
69,2,NaturalGas,0.0
69,3,Lignite,0.0
69,4,Nuclear,130.21643800000015
69,5,Oil,0.0
69,6,NaturalGas,0.0
69,7,NaturalGas,0.0
69,8,HardCoal,0.0
69,9,HardCoal,0.0
69,10,Lignite,0.0
69,11,Lignite,110.24357762966952
69,12,HardCoal,94.64308157083067
70,1,NaturalGas,0.0
70,2,NaturalGas,0.0
70,3,Lignite,0.0
70,4,Nuclear,150.89692199999965
70,5,Oil,0.0
70,6,NaturalGas,0.0
70,7,NaturalGas,0.0
70,8,HardCoal,0.0
70,9,HardCoal,0.0
70,10,Lignite,0.0
70,11,Lignite,133.8647844046061
70,12,HardCoal,54.64308157083067
71,1,NaturalGas,0.0
71,2,NaturalGas,0.0
71,3,Lignite,0.0
71,4,Nuclear,234.58860798287526
71,5,Oil,0.0
71,6,NaturalGas,0.0
71,7,NaturalGas,0.0
71,8,HardCoal,0.0
71,9,HardCoal,0.0
71,10,Lignite,0.0
71,11,Lignite,95.28958140460624
71,12,HardCoal,14.643081570830663
72,1,NaturalGas,0.0
72,2,NaturalGas,0.0
72,3,Lignite,0.0
72,4,Nuclear,320.1342817804961
72,5,Oil,0.0
72,6,NaturalGas,0.0
72,7,NaturalGas,0.0
72,8,HardCoal,0.0
72,9,HardCoal,0.0
72,10,Lignite,0.0
72,11,Lignite,35.28958140460624
72,12,HardCoal,0.0
73,1,NaturalGas,0.0
73,2,NaturalGas,0.0
73,3,Lignite,63.67582000000007
73,4,Nuclear,296.5866566117055
73,5,Oil,0.0
73,6,NaturalGas,0.0
73,7,NaturalGas,0.0
73,8,HardCoal,0.0
73,9,HardCoal,0.0
73,10,Lignite,0.0
73,11,Lignite,0.0
73,12,HardCoal,0.0
74,1,NaturalGas,0.0
74,2,NaturalGas,0.0
74,3,Lignite,75.0
74,4,Nuclear,261.3649771816193
74,5,Oil,0.0
74,6,NaturalGas,0.0
74,7,NaturalGas,0.0
74,8,HardCoal,0.0
74,9,HardCoal,0.0
74,10,Lignite,0.0
74,11,Lignite,0.0
74,12,HardCoal,0.0
75,1,NaturalGas,0.0
75,2,NaturalGas,0.0
75,3,Lignite,75.0
75,4,Nuclear,266.07786876869903
75,5,Oil,0.0
75,6,NaturalGas,0.0
75,7,NaturalGas,0.0
75,8,HardCoal,0.0
75,9,HardCoal,0.0
75,10,Lignite,0.0
75,11,Lignite,0.0
75,12,HardCoal,0.0
76,1,NaturalGas,0.0
76,2,NaturalGas,0.0
76,3,Lignite,44.443114999999956
76,4,Nuclear,276.0627838858004
76,5,Oil,0.0
76,6,NaturalGas,0.0
76,7,NaturalGas,0.0
76,8,HardCoal,0.0
76,9,HardCoal,0.0
76,10,Lignite,0.0
76,11,Lignite,21.500000000000018
76,12,HardCoal,0.0
77,1,NaturalGas,0.0
77,2,NaturalGas,0.0
77,3,Lignite,0.0
77,4,Nuclear,199.01212417406302
77,5,Oil,0.0
77,6,NaturalGas,0.0
77,7,NaturalGas,0.0
77,8,HardCoal,0.0
77,9,HardCoal,0.0
77,10,Lignite,0.0
77,11,Lignite,81.50000000000001
77,12,HardCoal,40.0
78,1,NaturalGas,0.0
78,2,NaturalGas,0.0
78,3,Lignite,0.0
78,4,Nuclear,132.05360783513186
78,5,Oil,0.0
78,6,NaturalGas,0.0
78,7,NaturalGas,0.0
78,8,HardCoal,0.0
78,9,HardCoal,0.0
78,10,Lignite,0.0
78,11,Lignite,92.12595500000043
78,12,HardCoal,80.0
79,1,NaturalGas,36.441828993512395
79,2,NaturalGas,0.0
79,3,Lignite,0.0
79,4,Nuclear,23.548663999999686
79,5,Oil,0.0
79,6,NaturalGas,9.675201121656162
79,7,NaturalGas,0.0
79,8,HardCoal,0.0
79,9,HardCoal,0.0
79,10,Lignite,0.0
79,11,Lignite,92.12595500000043
79,12,HardCoal,120.00000000000001
80,1,NaturalGas,76.44182899351239
80,2,NaturalGas,13.168758963342103
