time,unit,technology,output
5726,2,Wind offshore,19.8
5726,3,Wind onshore,7.199999999999999
5726,4,Wind offshore,19.8
5727,1,Solar PV,111.4
5727,2,Wind offshore,21.0
5727,3,Wind onshore,8.200000000000001
5727,4,Wind offshore,21.0
5728,1,Solar PV,92.2
5728,2,Wind offshore,20.599999999999998
5728,3,Wind onshore,7.8
5728,4,Wind offshore,20.599999999999998
5729,1,Solar PV,52.0
5729,2,Wind offshore,19.0
5729,3,Wind onshore,7.000000000000001
5729,4,Wind offshore,19.0
5730,1,Solar PV,14.000000000000002
5730,2,Wind offshore,17.4
5730,3,Wind onshore,8.4
5730,4,Wind offshore,17.4
5731,1,Solar PV,0.4
5731,2,Wind offshore,14.799999999999999
5731,3,Wind onshore,12.0
5731,4,Wind offshore,14.799999999999999
5732,1,Solar PV,0.0
5732,2,Wind offshore,10.4
5732,3,Wind onshore,14.2
5732,4,Wind offshore,10.4
5733,1,Solar PV,0.0
5733,2,Wind offshore,6.2
5733,3,Wind onshore,13.4
5733,4,Wind offshore,6.2
5734,1,Solar PV,0.0
5734,2,Wind offshore,3.8
5734,3,Wind onshore,11.4
5734,4,Wind offshore,3.8
5735,1,Solar PV,0.0
5735,2,Wind offshore,2.6
5735,3,Wind onshore,10.4
5735,4,Wind offshore,2.6
5736,1,Solar PV,0.0
5736,2,Wind offshore,3.0
5736,3,Wind onshore,10.8
5736,4,Wind offshore,3.0
5737,1,Solar PV,0.0
5737,2,Wind offshore,6.0
5737,3,Wind onshore,13.200000000000001
5737,4,Wind offshore,6.0
5738,1,Solar PV,0.0
5738,2,Wind offshore,12.2
5738,3,Wind onshore,16.6
5738,4,Wind offshore,12.2
5739,1,Solar PV,0.0
5739,2,Wind offshore,20.4
5739,3,Wind onshore,20.4
5739,4,Wind offshore,20.4
5740,1,Solar PV,0.0
5740,2,Wind offshore,32.800000000000004
5740,3,Wind onshore,24.4
5740,4,Wind offshore,32.800000000000004
5741,1,Solar PV,0.0
5741,2,Wind offshore,45.6
5741,3,Wind onshore,27.6
5741,4,Wind offshore,45.6
5742,1,Solar PV,3.2
5742,2,Wind offshore,54.800000000000004
5742,3,Wind onshore,27.400000000000002
5742,4,Wind offshore,54.800000000000004
5743,1,Solar PV,20.8
5743,2,Wind offshore,55.800000000000004
5743,3,Wind onshore,15.2
5743,4,Wind offshore,55.800000000000004
5744,1,Solar PV,60.4
5744,2,Wind offshore,54.6
5744,3,Wind onshore,10.4
5744,4,Wind offshore,54.6
5745,1,Solar PV,117.0
5745,2,Wind offshore,58.599999999999994
5745,3,Wind onshore,21.6
5745,4,Wind offshore,58.599999999999994
5746,1,Solar PV,141.79999999999998
5746,2,Wind offshore,64.0
5746,3,Wind onshore,25.6
5746,4,Wind offshore,64.0
5747,1,Solar PV,137.6
5747,2,Wind offshore,65.8
5747,3,Wind onshore,27.400000000000002
5747,4,Wind offshore,65.8
5748,1,Solar PV,126.0
5748,2,Wind offshore,67.4
5748,3,Wind onshore,27.6
5748,4,Wind offshore,67.4
5749,1,Solar PV,96.0
5749,2,Wind offshore,67.2
5749,3,Wind onshore,26.6
5749,4,Wind offshore,67.2
5750,1,Solar PV,112.4
5750,2,Wind offshore,58.599999999999994
5750,3,Wind onshore,24.6
5750,4,Wind offshore,58.599999999999994
5751,1,Solar PV,97.6
5751,2,Wind offshore,47.4
5751,3,Wind onshore,22.400000000000002
5751,4,Wind offshore,47.4
5752,1,Solar PV,78.0
5752,2,Wind offshore,43.8
5752,3,Wind onshore,20.0
5752,4,Wind offshore,43.8
5753,1,Solar PV,41.0
5753,2,Wind offshore,48.199999999999996
5753,3,Wind onshore,18.0
5753,4,Wind offshore,48.199999999999996
5754,1,Solar PV,10.4
5754,2,Wind offshore,60.4
5754,3,Wind onshore,21.0
5754,4,Wind offshore,60.4
5755,1,Solar PV,0.0
5755,2,Wind offshore,76.4
5755,3,Wind onshore,27.800000000000004
5755,4,Wind offshore,76.4
5756,1,Solar PV,0.0
5756,2,Wind offshore,86.4
5756,3,Wind onshore,34.4
5756,4,Wind offshore,86.4
5757,1,Solar PV,0.0
5757,2,Wind offshore,85.8
5757,3,Wind onshore,38.800000000000004
5757,4,Wind offshore,85.8
5758,1,Solar PV,0.0
5758,2,Wind offshore,79.0
5758,3,Wind onshore,39.800000000000004
5758,4,Wind offshore,79.0
5759,1,Solar PV,0.0
5759,2,Wind offshore,73.0
5759,3,Wind onshore,37.8
5759,4,Wind offshore,73.0
5760,1,Solar PV,0.0
5760,2,Wind offshore,68.2
5760,3,Wind onshore,35.6
5760,4,Wind offshore,68.2
